Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D8.0mm_P3.50mm,1,30F,
"C10, C11, C12, C14, C15, C3, C4, C6, C8, C9",LargePad_R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,10,0.1,
C13,CP_Radial_D7.5mm_P2.50mm,1,100uF,
"C2, C5, C7",LargePad_R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,3,33p,
D1,D_DO-41_SOD81_P10.16mm_Horizontal_CRD,1,SB240LES,
J1,RetroPC 50Pin PCB Edge_BACK1,1,MZ-1500 INTERNAL SLOT,
R1,D_A-405_P7.62mm_Horizontal_LargePad,1,47 1/2W,
"R2, R3, R4",LargePad_R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3,1k,
"U1, U10, U11, U12, U2, U3, U4, U9",SOP-16_4.55x10.3mm_P1.27mm,8,74HC161,
"U13, U14, U5, U7",SOP-16_4.55x10.3mm_P1.27mm,4,74HC157,
U15,SSOP-32_11.305x20.495mm_P1.27mm,1,M68AF127B,
U16,DIP-24_W7.62mm_Socket_LongPads,1,GAL22V10,
U6,DIP-16_W7.62mm_Socket_LongPads,1,MAX691,
U8,TO-220-3,1,BP5293-33,
