Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",LargePad_R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,3,0.1u,
C6,LargePad_R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,2200p,
D1,D_DO-41_SOD81_P7.62mm_Horizontal,1,~,
J1,Connector_Mini-DIN_Female_8Pin_Marushin,1,MZ Casset Port In,
J2,PET_Casset,1,PET Casset Port Out,
J3,PinHeader_1x02_P2.54mm_Vertical,1,Write Polarity,
J4,PinHeader_1x02_P2.54mm_Vertical,1,Read Polarity,
J5,BarrelJack_Horizontal,1,EXT 9V,
K1,Relay_DPDT_Omron_G5V-2-LargePad,1,Omron G5V-2 / 941H 9V,
Q1,TO-92S_Wide_ECB,1,2SC1815,
"R1, R2, R7",LargePad_R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3,10k,
"R3, R4, R6",LargePad_R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3,1k,
U1,DIP-14_W7.62mm_Socket_LongPads,1,74LS86,
