Designator,Mid X,Mid Y,Rotation,Layer
C1,37.1127,33.6093,270.0,top
C2,35.1755,18.983,270.0,top
C3,8.1245,15.9725,270.0,top
C6,37.2075,28.509,270.0,top
D1,40.3825,17.713,270.0,top
J1,14.01,55.3,180.0,top
J3,8.405,42.073,270.0,top
J4,8.405,37.423,270.0,top
J5,33.5525,54.067,270.0,top
K1,21.1325,21.0725,270.0,top
Q1,21.3325,29.652,0.0,top
R1,37.819,41.865,180.0,top
R2,37.819,38.305,180.0,top
R3,40.7957,29.1643,270.0,top
R4,33.8107,28.5293,90.0,top
R6,3.5665,25.334,90.0,top
R7,7.6165,25.334,90.0,top
U1,22.375,38.7,270.0,top
